COLTYPE,BEETLE96,GUANO,PLANT96
R, 69.00,12.1, 5.60
N,  2.80, 0.0, 5.86
N, 14.33, 0.0,30.30
B,141.00,60.0, 7.80
N,  1.00, 0.0,21.60
N, 35.20, 5.5, 3.10
R,  6.80,13.6, 1.90
N,  0.07, 0.0,31.00
R,  0.80,23.9,10.80
B,  3.33,20.6, 7.00
B,  2.80,76.6, 9.60
R,  2.60,21.5, 5.70
R, 48.60,23.5, 2.70
N,  0.40, 2.7,31.60
N,  0.33, 0.0, 9.50
N,  6.40, 0.3,28.70
B, 25.75,11.3,21.00
N,  0.00, 0.0, 3.30
B,  1.69, 8.5,10.80
B, 46.69,60.0,30.00
B, 18.00, 1.5,18.00
B, 60.81, 1.9, 7.80
N,  1.36, 0.0,17.20
R, 31.40,38.1, 1.70
N,  0.57, 0.0, 6.10
