DAM,SIRE,MOUSE,PH
D1,S1,M1,48
D1,S1,M2,48
D1,S1,M3,52
D1,S1,M4,54
D1,S2,M5,48
D1,S2,M6,53
D1,S2,M7,43
D1,S2,M8,39
D2,S3,M9,45
D2,S3,M10,43
D2,S3,M11,49
D2,S3,M12,40
D2,S3,M13,40
D2,S4,M14,50
D2,S4,M15,45
D2,S4,M16,43
D2,S4,M17,36
D3,S5,M18,40
D3,S5,M19,45
D3,S5,M20,42
D3,S5,M21,48
D3,S6,M22,45
D3,S6,M23,33
D3,S6,M24,40
D3,S6,M25,46
D3,S7,M26,40
D3,S7,M27,47
D3,S7,M28,40
D3,S7,M29,47
D3,S7,M30,47
D4,S8,M31,38
D4,S8,M32,48
D4,S8,M33,46
D4,S9,M34,37
D4,S9,M35,31
D4,S9,M36,45
D4,S9,M37,41
D5,S10,M38,44
D5,S10,M39,51
D5,S10,M40,49
D5,S10,M41,51
D5,S10,M42,52
D5,S11,M43,49
D5,S11,M44,49
D5,S11,M45,49
D5,S11,M46,50
D5,S12,M47,48
D5,S12,M48,59
D5,S12,M49,59
D6,S13,M50,54
D6,S13,M51,36
D6,S13,M52,36
D6,S13,M53,40
D6,S14,M54,44
D6,S14,M55,47
D6,S14,M56,48
D6,S14,M57,48
D6,S15,M58,43
D6,S15,M59,52
D6,S15,M60,50
D6,S15,M61,46
D6,S15,M62,39
D7,S16,M63,41
D7,S16,M64,42
D7,S16,M65,36
D7,S16,M66,47
D7,S17,M67,47
D7,S17,M68,36
D7,S17,M69,43
D7,S17,M70,38
D7,S17,M71,41
D7,S18,M72,53
D7,S18,M73,40
D7,S18,M74,44
D7,S18,M75,40
D7,S18,M76,45
D8,S19,M77,52
D8,S19,M78,53
D8,S19,M79,48
D8,S20,M80,40
D8,S20,M81,48
D8,S20,M82,50
D8,S20,M83,40
D8,S20,M84,51
D9,S21,M85,40
D9,S21,M86,34
D9,S21,M87,37
D9,S21,M88,45
D9,S22,M89,42
D9,S22,M90,37
D9,S22,M91,46
D9,S22,M92,40
D10,S23,M93,39
D10,S23,M94,31
D10,S23,M95,30
D10,S23,M96,41
D10,S23,M97,48
D10,S24,M98,50
D10,S24,M99,44
D10,S24,M100,40
D10,S24,M101,45
D11,S25,M102,52
D11,S25,M103,54
D11,S25,M104,52
D11,S25,M105,56
D11,S25,M106,53
D11,S26,M107,56
D11,S26,M108,39
D11,S26,M109,52
D11,S26,M110,49
D11,S26,M111,48
D12,S27,M112,50
D12,S27,M113,45
D12,S27,M114,43
D12,S27,M115,44
D12,S27,M116,49
D12,S28,M117,52
D12,S28,M118,43
D12,S28,M119,38
D12,S28,M120,33
D13,S29,M121,39
D13,S29,M122,37
D13,S29,M123,33
D13,S29,M124,43
D13,S29,M125,42
D13,S30,M126,43
D13,S30,M127,38
D13,S30,M128,44
D13,S31,M129,46
D13,S31,M130,44
D13,S31,M131,37
D13,S31,M132,54
D14,S32,M133,50
D14,S32,M134,53
D14,S32,M135,51
D14,S32,M136,43
D14,S33,M137,44
D14,S33,M138,45
D14,S33,M139,39
D14,S33,M140,52
D14,S34,M141,42
D14,S34,M142,48
D14,S34,M143,45
D14,S34,M144,51
D14,S34,M145,48
D15,S35,M146,47
D15,S35,M147,49
D15,S35,M148,45
D15,S35,M149,43
D15,S35,M150,42
D15,S36,M151,45
D15,S36,M152,42
D15,S36,M153,52
D15,S36,M154,51
D15,S36,M155,32
D15,S37,M156,51
D15,S37,M157,51
D15,S37,M158,53
D15,S37,M159,45
D15,S37,M160,51
