LEAVES,BLOCK,TREAT,MITE,LMITE
a1,1,Without.domatia,9,4.50534985070588
a2,1,With.domatia,1,2.35137525716348
b1,2,Without.domatia,2,3.02042488614436
b2,2,With.domatia,1,2.35137525716348
c1,3,Without.domatia,0,-0.693147180559945
c2,3,With.domatia,2,3.02042488614436
d1,4,Without.domatia,12,4.79164975293071
d2,4,With.domatia,4,3.70130197411249
e1,5,Without.domatia,15,5.01396308418893
e2,5,With.domatia,2,3.02042488614436
f1,6,Without.domatia,3,3.41772668361337
f2,6,With.domatia,1,2.35137525716348
g1,7,Without.domatia,11,4.70501552095781
g2,7,With.domatia,0,-0.693147180559945
h1,8,Without.domatia,6,4.1026433650368
h2,8,With.domatia,0,-0.693147180559945
i1,9,Without.domatia,7,4.25561270981822
i2,9,With.domatia,1,2.35137525716348
j1,10,Without.domatia,6,4.1026433650368
j2,10,With.domatia,0,-0.693147180559945
k1,11,Without.domatia,5,3.92197333628131
k2,11,With.domatia,1,2.35137525716348
l1,12,Without.domatia,8,4.38825718442452
l2,12,With.domatia,1,2.35137525716348
m1,13,Without.domatia,3,3.41772668361337
m2,13,With.domatia,1,2.35137525716348
n1,14,Without.domatia,6,4.1026433650368
n2,14,With.domatia,0,-0.693147180559945
