SITE,HABITAT,REGION,MONTH,BIRDS
Rushworth,ironbark,north,MAY,259.999998088777
Graytown,ironbark,north,MAY,56.0000018334307
Anglesea,ironbark,south,MAY,73.0000005028914
Wallace,ironbark,south,MAY,105.000000624121
Ida,stringybark,north,MAY,1.00000003888011
McIvor,stringybark,north,MAY,2.00000003399567
Geebung,stringybark,south,MAY,3.00000015552044
Thompson,stringybark,south,MAY,3.9999999378295
Rushworth,ironbark,north,JUNE,214.99999834022
Graytown,ironbark,north,JUNE,85.9999983770512
Anglesea,ironbark,south,JUNE,143.999993849017
Wallace,ironbark,south,JUNE,268.000005487105
Ida,stringybark,north,JUNE,0
McIvor,stringybark,north,JUNE,0
Geebung,stringybark,south,JUNE,13.9999999834669
Thompson,stringybark,south,JUNE,14.9999996441635
Rushworth,ironbark,north,JULY,192.000002141357
Graytown,ironbark,north,JULY,34.0000013478705
Anglesea,ironbark,south,JULY,131.999996246507
Wallace,ironbark,south,JULY,113.999996738226
Ida,stringybark,north,JULY,0
McIvor,stringybark,north,JULY,0
Geebung,stringybark,south,JULY,6.99999966656132
Thompson,stringybark,south,JULY,0
Rushworth,ironbark,north,AUGUST,100.999998645004
Graytown,ironbark,north,AUGUST,151.999996726957
Anglesea,ironbark,south,AUGUST,144.999996830583
Wallace,ironbark,south,AUGUST,195.000007990819
Ida,stringybark,north,AUGUST,0
McIvor,stringybark,north,AUGUST,0
Geebung,stringybark,south,AUGUST,3.00000015552044
Thompson,stringybark,south,AUGUST,0
Rushworth,ironbark,north,SEPTEMBER,9.0000000700595
Graytown,ironbark,north,SEPTEMBER,64.999997226256
Anglesea,ironbark,south,SEPTEMBER,80.9999961243314
Wallace,ironbark,south,SEPTEMBER,19.0000005289202
Ida,stringybark,north,SEPTEMBER,18.0000003958376
McIvor,stringybark,north,SEPTEMBER,0
Geebung,stringybark,south,SEPTEMBER,1.00000003888011
Thompson,stringybark,south,SEPTEMBER,19.0000005289202
Rushworth,ironbark,north,OCTOBER,3.9999999378295
Graytown,ironbark,north,OCTOBER,6.99999966656132
Anglesea,ironbark,south,OCTOBER,10.0000002992179
Wallace,ironbark,south,OCTOBER,0
Ida,stringybark,north,OCTOBER,8.000000203974
McIvor,stringybark,north,OCTOBER,0
Geebung,stringybark,south,OCTOBER,0
Thompson,stringybark,south,OCTOBER,3.00000015552044
Rushworth,ironbark,north,NOVEMBER,12.000000553
Graytown,ironbark,north,NOVEMBER,10.999999402544
Anglesea,ironbark,south,NOVEMBER,0
Wallace,ironbark,south,NOVEMBER,5.00000018463167
Ida,stringybark,north,NOVEMBER,5.00000018463167
McIvor,stringybark,north,NOVEMBER,2.00000003399567
Geebung,stringybark,south,NOVEMBER,0
Thompson,stringybark,south,NOVEMBER,3.00000015552044
Rushworth,ironbark,north,DECEMBER,0
Graytown,ironbark,north,DECEMBER,3.00000015552044
Anglesea,ironbark,south,DECEMBER,0
Wallace,ironbark,south,DECEMBER,2.00000003399567
Ida,stringybark,north,DECEMBER,3.00000015552044
McIvor,stringybark,north,DECEMBER,1.00000003888011
Geebung,stringybark,south,DECEMBER,0
Thompson,stringybark,south,DECEMBER,5.99999965661282
Rushworth,ironbark,north,JANUARY,2.00000003399567
Graytown,ironbark,north,JANUARY,5.00000018463167
Anglesea,ironbark,south,JANUARY,9.0000000700595
Wallace,ironbark,south,JANUARY,1.00000003888011
Ida,stringybark,north,JANUARY,24.9999990114415
McIvor,stringybark,north,JANUARY,3.00000015552044
Geebung,stringybark,south,JANUARY,2.00000003399567
Thompson,stringybark,south,JANUARY,2.00000003399567
Rushworth,ironbark,north,FEBRUARY,12.9999995853864
Graytown,ironbark,north,FEBRUARY,13.9999999834669
Anglesea,ironbark,south,FEBRUARY,23.999999378295
Wallace,ironbark,south,FEBRUARY,9.0000000700595
Ida,stringybark,north,FEBRUARY,15.9999992510443
McIvor,stringybark,north,FEBRUARY,2.00000003399567
Geebung,stringybark,south,FEBRUARY,8.000000203974
Thompson,stringybark,south,FEBRUARY,10.0000002992179
Rushworth,ironbark,north,MARCH,10.0000002992179
Graytown,ironbark,north,MARCH,19.9999992078081
Anglesea,ironbark,south,MARCH,14.9999996441635
Wallace,ironbark,south,MARCH,2.00000003399567
Ida,stringybark,north,MARCH,9.0000000700595
McIvor,stringybark,north,MARCH,2.00000003399567
Geebung,stringybark,south,MARCH,2.00000003399567
Thompson,stringybark,south,MARCH,5.00000018463167
Rushworth,ironbark,north,APRIL,26.9999997150943
Graytown,ironbark,north,APRIL,55.0000005188316
Anglesea,ironbark,south,APRIL,89.9999994069666
Wallace,ironbark,south,APRIL,10.999999402544
Ida,stringybark,north,APRIL,0
McIvor,stringybark,north,APRIL,0
Geebung,stringybark,south,APRIL,2.00000003399567
Thompson,stringybark,south,APRIL,0
