QUADRAT,POSITION,DEAD
1,Bottom,With
2,Bottom,With
3,Bottom,Without
4,Bottom,Without
5,Top,Without
6,Bottom,With
7,Middle,Without
8,Bottom,Without
9,Bottom,With
10,Bottom,With
11,Bottom,Without
12,Bottom,Without
13,Bottom,With
14,Top,Without
15,Top,Without
16,Bottom,Without
17,Top,Without
18,Bottom,With
19,Middle,Without
20,Top,Without
21,Bottom,With
22,Top,Without
23,Top,Without
24,Bottom,With
25,Bottom,Without
26,Bottom,Without
27,Bottom,With
28,Middle,Without
29,Bottom,With
30,Bottom,With
31,Top,Without
32,Top,Without
33,Middle,Without
34,Middle,Without
35,Middle,With
36,Top,Without
37,Bottom,With
38,Bottom,Without
39,Middle,Without
40,Top,Without
41,Middle,Without
42,Bottom,Without
43,Bottom,Without
44,Top,Without
45,Top,Without
46,Bottom,With
47,Top,Without
48,Bottom,Without
49,Bottom,With
50,Bottom,Without
51,Top,Without
52,Middle,With
53,Middle,With
54,Middle,Without
55,Top,Without
56,Middle,With
57,Top,Without
