"Years","OccGrids"
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,3
1886,3
1887,3
1888,3
1889,3
1890,3
1891,3
1892,3
1893,3
1894,4
1895,4
1896,4
1897,4
1898,4
1899,5
1900,5
1901,5
1902,5
1903,6
1904,6
1905,7
1906,7
1907,7
1908,8
1909,8
1910,8
1911,9
1912,10
1913,10
1914,10
1915,11
1916,12
1917,12
1918,13
1919,13
1920,14
1921,15
1922,16
1923,16
1924,17
1925,17
1926,17
1927,17
1928,19
1929,20
1930,20
1931,20
1932,21
1933,21
1934,21
1935,23
1936,23
1937,26
1938,27
1939,28
1940,33
1941,34
1942,35
1943,36
1944,40
1945,41
1946,43
1947,45
1948,45
1949,46
1950,46
1951,46
1952,48
1953,50
1954,53
1955,55
1956,56
1957,58
1958,62
1959,63
1960,63
1961,66
1962,68
1963,68
1964,69
1965,71
1966,71
1967,73
1968,77
1969,78
1970,81
1971,81
1972,81
1973,82
1974,85
1975,88
1976,89
1977,92
1978,95
1979,98
1980,100
1981,101
1982,101
1983,101
1984,102
1985,104
1986,105
1987,110
1988,112
1989,123
1990,130
1991,133
1992,136
1993,141
1994,144
1995,148
1996,152
1997,159
1998,165
1999,174
2000,179
2001,188
2002,193
2003,201
2004,202
2005,204
2006,208
2007,212
2008,214
2009,218
2010,219
